Name,Code,Workload,University,PreReq1,PreReq2,PreReq3
DESIGN DE INTERAÇÃO,CSH51,45,UTFPR,CSH30,,
Ciências das Redes,CSI31,60,UTFPR,CSI30,,
REDES NEURAIS,CSI41,45,UTFPR,CSI30,,
META-HEURISTICAS INSPIRADAS EM INTELIGÊNCIA COLETIVA,CSI42,45,UTFPR,CSI30,,
INTELIGÊNCIA ARTIFICIAL,CSI50,45,UTFPR,CSI30,,
COMPUTAÇÃO EVOLUCIONÁRIA,CSI51,45,UTFPR,CSI30,,
INTELIGÊNCIA ARTIFICIAL DISTRIBUÍDA,CSI52,45,UTFPR,CSI30,,
MINERAÇÃO DE DADOS,CSI53,45,UTFPR,CSI30,,
ONTOLOGIAS,CSI54,45,UTFPR,CSI30,,
SISTEMAS AUTÔNOMOS INTELIGENTES,CSI55,45,UTFPR,CSI30,,
SISTEMAS FUZZY,CSI56,45,UTFPR,CSI30,,
INTRODUÇÃO ÀS CIÊNCIAS COGNITIVAS,CSI57,45,UTFPR,CSD21,CSX10,
DATA MINING,CSI58,45,UTFPR,CSI30,MA70H,
ESTRUTURA DE LINGUAGENS DE PROGRAMAÇÃO,CSL40,60,UTFPR,CSA31,,
CONSTRUÇÃO DE COMPILADORES,CSL41,60,UTFPR,CSA31,,
HTML/CSS,CSM40,60,UTFPR,,,
DESENVOLVIMENTO DE APLICAÇÕES WEB,CSM41,60,UTFPR,CSB30,CSE20,
INFRAESTRUTURA PARA TECNOLOGIA DE INFORMAÇÃO,CSM42,60,UTFPR,CSR30,,
PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS E SEM FIO,CSM43,60,UTFPR,CSE20,,
WEB DESIGN,CSM44,90,UTFPR,,,
COMPUTAÇÃO EM NUVEM,CSM45,60,UTFPR,,,
SISTEMAS OPERACIONAIS,CSO30,60,UTFPR,CSW20,,
CABEAMENTO ESTRUTURADO,CSR20,30,UTFPR,CSR30,,
COMUNICAÇÃO DE DADOS,CSR31,30,UTFPR,,,
REDES E SISTEMAS DE COMUNICAÇÃO MÓVEIS,CSR40,60,UTFPR,CSR30,,
OFICINA DE REDES,CSR41,60,UTFPR,CSO30,,
INFRAESTRUTURA DE LANS HIERARQUICAS,CSR42,60,UTFPR,CSR30,,
INFRAESTRUTURA DE WANS,CSR43,60,UTFPR,CSR30,,
SEGURANÇA DE REDES E SISTEMAS,CSR44,60,UTFPR,CSR30,,
PROJETO DE INFRAESTRUTURA DE REDES,CSR45,45,UTFPR,CSR30,,
ROTEAMENTO E QUALIDADE DE SERVIÇOS EM REDES,CSR46,45,UTFPR,CSR30,,
REDES SEM FIO,CSR47,45,UTFPR,CSR30,,
SIMULAÇÃO E ANÁLISE DE DESEMPENHO DE REDES DE COMPUTADORES,CSR48,45,UTFPR,CSR30,,
COMPUTAÇÃO GRÁFICA,CSV40,60,UTFPR,CSV30,,
INTRODUÇÃO À VISÃO COMPUTACIONAL,CSV41,60,UTFPR,CSV30,,
TÓPICOS AVANÇADOS EM PROCESSAMENTO GRÁFICO,CSV42,60,UTFPR,CSV30,,
PROCESSAMENTO DIGITAL DE IMAGENS 2,CSV43,60,UTFPR,CSV30,,
RECONHECIMENTO DE PADRÕES EM IMAGENS,CSV45,60,UTFPR,CSV30,,
COMPUTAÇÃO GRÁFICA 2,CSV50,45,UTFPR,CSV30,,
VISÃO COMPUTACIONAL,CSV52,45,UTFPR,CSV30,,
FUNDAMENTOS DO PROCESSAMENTO DE IMAGENS MÉDICAS,CSV53,45,UTFPR,CSV30,,
FUNDAMENTOS DE CIRCUITOS DIGITAIS,CSW21,90,UTFPR,CSW20,,
SISTEMAS MICROCONTROLADOS,CSW40,60,UTFPR,CSW21,,
SISTEMAS EMBARCADOS,CSW41,60,UTFPR,CSW20,,
LÓGICA RECONFIGURÁVEL,CSW42,60,UTFPR,CSW40,,
ARQUITETURA AVANÇADA DE COMPUTADORES,CSW43,60,UTFPR,CSW20,,
ARQUITETURA DE COMPUTADORES PARALELOS,CSW44,60,UTFPR,CSW20,,
ROBÓTICA MÓVEL,CSW45,45,UTFPR,CSF30,,
ENGENHARIA DE SISTEMAS APLICADA A SISTEMAS CIBERFÍSICOS,CSW46,45,UTFPR,CSO30,,
SISTEMAS EMBARCADOS PPGCA,CSW51,45,UTFPR,CSW20,,
COMPUTAÇÃO RECONFIGURÁVEL,CSW53,45,UTFPR,CSW21,,
TÓPICOS AVANÇADOS EM SISTEMAS EMBARCADOS,CSW55,45,UTFPR,CSO30,,
TRABALHO DE INTEGRAÇÃO 1,CSX20,45,UTFPR,CSF20,,
LEGISLAÇÃO PARA INFORMÁTICA,GE65C,30,UTFPR,,,
TEORIAS ORGANIZACIONAIS,GE72A,60,UTFPR,,,
CÁLCULO NUMÉRICO,MA70C,60,UTFPR,CSF13,MA70E,
COMUNICAÇÃO ORAL E ESCRITA,CE70B,30,UTFPR,,,
ENGENHARIA DE SOFTWARE,CSE30,60,UTFPR,CSG20,,
REDES DE COMPUTADORES,CSR30,45,UTFPR,CSO30,,
ESTÁGIO 1,CSX51,200,UTFPR,,,
LIBRAS 1,ED70G,30,UTFPR,,,
LIBRAS 2,ED70H,30,UTFPR,,,
SMART CHALLENGES,ELSC01,120,UTFPR,,,
SMART PROJECTS,ELSP01,120,UTFPR,,,
PSICOLOGIA APLICADA AO TRABALHO,ES70B,30,UTFPR,,,
FUNDAMENTOS DA ÉTICA,ES70H,30,UTFPR,,,
A PRESENÇA AFRICANA NO BRASIL: TECNOLOGIA E TRABALHO,ES70J,30,UTFPR,,,
FILOSOFIA DA CIÊNCIA E DA TECNOLOGIA,ES70P,45,UTFPR,,,
TEORIA DAS CIÊNCIAS HUMANAS,FCH7FC,45,UTFPR,,,
METROPOLIZAÇÃO CONTEMPORÂNEA: TECNOLOGIA E TERRITÓRIO,FCH7GA,45,UTFPR,,,
HISTÓRIA GERAL DA ECONOMIA,FCH7HB,45,UTFPR,,,
CAPITALISMO CONTEMPORÂNEO E ECONOMIA POLÍTICA,FCH7HC,45,UTFPR,,,
"TECNOLOGIA, TRABALHO E SAÚDE",FCH7SC,45,UTFPR,,,
DIMENSÃO AMBIENTAL NA GESTÃO URBANA,FCH7XF,45,UTFPR,,,
TECNOPOLÍTICAS DA SOCIEDADE CONTEMPORÂNEA,FCH7XG,45,UTFPR,,,
RESPONSABILIDADE SOCIAL E DESENVOLVIMENTO SUSTENTÁVEL,GE78B,45,UTFPR,,,
CIÊNCIAS DO AMBIENTE,QB70E,30,UTFPR,,,
DESENVOLVIMENTO SUSTENTÁVEL,QB70F,30,UTFPR,,,
SISTEMAS DISTRIBUÍDOS,CSS30,60,UTFPR,CSO30,CSR30,
TRABALHO DE INTEGRAÇÃO 2,CSX30,45,UTFPR,CSX20,,
ESTÁGIO 2,CSX52,200,UTFPR,,,
TRABALHO DE CONCLUSÃO DE CURSO 1,CSX40,30,UTFPR,,,
TRABALHO DE CONCLUSÃO DE CURSO 2,CSX41,30,UTFPR,,,
ENADE CONCLUINTE,ENADE C,0,UTFPR,,,
